,Feature_Age,Label_Option,Feature_Average_income,Feature_Employed_No,Feature_Employed_Yes,Feature_Cashback_spending_Apply to statement balance,Feature_Cashback_spending_Redeem as cash,Feature_Cashback_spending_Use to purchase gift cards,"Feature_Most_expense_Eating out (restaurants, coffee, etc.)","Feature_Most_expense_Entertainment (movies, shows, concerts, etc.)",Feature_Most_expense_Groceries/day-to-day needs,Feature_Most_expense_Other,"Feature_Most_expense_Transportation (Uber, buses, train, subway)",Feature_Most_expense_Travel,Feature_Education_level_Graduate (Masters),Feature_Education_level_Other,Feature_Education_level_Undergraduate
2,0.2857142857142858,0,0.16666666666666669,0,1,1,0,0,0,0,1,0,0,0,1,0,0
4,0.2857142857142858,1,0.20833333333333331,0,1,0,1,0,0,0,1,0,0,0,1,0,0
5,0.4285714285714286,1,0.15625,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6,0.3571428571428572,1,0.10416666666666667,0,1,0,0,0,0,0,0,1,0,0,1,0,0
7,0.2857142857142858,1,0.22916666666666669,0,1,1,0,0,1,0,0,0,0,0,1,0,0
8,0.2857142857142858,0,0.125,1,0,1,0,0,0,0,1,0,0,0,1,0,0
9,0.2857142857142858,1,0.14166666666666666,1,0,1,0,0,1,0,0,0,0,0,1,0,0
10,0.3571428571428572,1,0.125,1,0,1,0,0,0,0,0,0,0,1,1,0,0
11,0.4285714285714286,1,0.16666666666666669,0,1,1,0,0,0,0,1,0,0,0,1,0,0
12,0.3571428571428572,0,0.16666666666666669,0,1,0,1,0,1,0,0,0,0,0,1,0,0
13,0.3571428571428572,1,0.125,1,0,0,1,0,1,0,0,0,0,0,1,0,0
14,0.2857142857142858,1,0.0625,0,1,1,0,0,1,0,0,0,0,0,1,0,0
15,0.2857142857142858,0,0.09375000000000001,0,1,1,0,0,1,0,0,0,0,0,1,0,0
16,0.3571428571428572,1,0.2708333333333333,1,0,0,1,0,1,0,0,0,0,0,1,0,0
17,0.2142857142857144,0,0.08333333333333333,0,1,0,1,0,1,0,0,0,0,0,0,1,0
18,0.3571428571428572,0,0.2708333333333333,0,1,0,0,1,0,1,0,0,0,0,1,0,0
19,0.3571428571428572,0,0.4791666666666667,1,0,0,1,0,0,0,1,0,0,0,1,0,0
20,0.2142857142857144,1,0.375,1,0,0,0,1,0,0,1,0,0,0,1,0,0
22,1.0,1,0.7916666666666667,0,1,1,0,0,1,0,0,0,0,0,0,0,1
24,0.3571428571428572,0,0.11458333333333333,1,0,1,0,0,0,0,0,0,1,0,1,0,0
25,0.4285714285714286,0,0.11458333333333333,1,0,1,0,0,0,0,1,0,0,0,1,0,0
29,0.5,1,0.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
30,0.3571428571428572,0,0.22916666666666669,1,0,0,1,0,0,1,0,0,0,0,1,0,0
31,0.2857142857142858,1,0.16666666666666669,0,1,0,1,0,1,0,0,0,0,0,1,0,0
32,0.0714285714285714,1,0.125,1,0,0,0,1,1,0,0,0,0,0,0,0,1
33,0.2142857142857144,1,0.0625,1,0,1,0,0,1,0,0,0,0,0,0,0,1
34,0.2142857142857144,0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
35,0.2142857142857144,1,0.4166666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1
36,0.2857142857142858,0,0.10416666666666667,0,1,0,1,0,0,0,1,0,0,0,0,0,1
37,0.2857142857142858,1,0.4791666666666667,0,1,0,1,0,1,0,0,0,0,0,0,1,0
38,0.3571428571428572,0,0.2708333333333333,1,0,1,0,0,1,0,0,0,0,0,1,0,0
39,0.2142857142857144,1,1.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
40,0.2857142857142858,1,0.16666666666666669,0,1,1,0,0,0,0,1,0,0,0,1,0,0
41,0.0,1,0.2708333333333333,0,1,1,0,0,1,0,0,0,0,0,0,0,1
42,0.1428571428571428,1,0.375,0,1,0,1,0,0,0,1,0,0,0,0,0,1
43,0.4285714285714286,0,0.4791666666666667,0,1,1,0,0,0,0,1,0,0,0,1,0,0
44,0.2857142857142858,1,0.3333333333333333,0,1,1,0,0,1,0,0,0,0,0,1,0,0
45,0.0714285714285714,1,0.125,0,1,0,1,0,0,0,1,0,0,0,0,0,1
46,0.2857142857142858,0,0.2708333333333333,0,1,0,1,0,1,0,0,0,0,0,1,0,0
